Variable,Crudo_Media,Crudo_Std,Crudo_Min,Crudo_Max,Crudo_Ceros,Crudo_Registros,Filtrado_Media,Filtrado_Std,Filtrado_Min,Filtrado_Max,Filtrado_Ceros,Outliers_Removidos,Diff_Media,Diff_Std,Diff_Max
RPM rotor,225.24059808284406,402.6171606918208,0.0,11573.0,112726,160446,210.71621604776686,323.86448615839964,0.0,717.0,112726,4309,14.524382035077195,78.75267453342116,10856.0
Aceleration_CHUMACERA B,0.13880982256921334,0.21782122757181513,0.0,1.85329,111538,160446,0.1371227124453087,0.2116535307584856,0.0,0.660958,111538,2615,0.001687110123904656,0.006167696813329543,1.192332
Velocity_CHUMACERA B,0.7063099397367338,1.103676082084671,0.0,11.5392,111538,160446,0.7141790904728069,1.1063263095409959,0.0,3.52823,111538,1760,0.007869150736073083,0.0026502274563249273,8.010969999999999
Envelope_CHUMACERA B,0.4083158192802563,0.6778570883601875,0.0,17.7798,111538,160446,0.3977758930643332,0.649047466019866,0.0,2.56161,111538,1060,0.01053992621592309,0.028809622340321583,15.218190000000002
Aceleration_CHUMACERA A,0.15344839064657267,0.23654518324280366,0.0,1.27751,111539,160446,0.1571479073707042,0.23838983754570442,0.0,0.641072,111539,4710,0.0036995167241315186,0.0018446543029007612,0.636438
Velocity_CHUMACERA A,0.5793668587811475,0.9334590303069529,0.0,30.9439,111539,160446,0.5719710035089687,0.9034473390965259,0.0,3.12026,111539,1162,0.007395855272178786,0.030011691210427016,27.823639999999997
Envelope_CHUMACERA A,0.3209657055467883,0.505995482952874,0.0,5.44394,111539,160446,0.3110602504705633,0.48130708828781305,0.0,1.54287,111539,2490,0.009905455076225034,0.024688394665060953,3.90107
